"Country"	"Date"	"Fuel"	"Price"	"Reg"
"Belgium"	2008-10-01	"Super"	1326.2875	42998
"Belgium"	2008-11-01	"Diesel"	1065.57	30381
"Belgium"	2008-11-01	"Super"	1213	30381
"Belgium"	2008-12-01	"Super"	1167.49666666667	21837
"Belgium"	2008-12-01	"Diesel"	999.97	21837
"Belgium"	2009-01-01	"Diesel"	905.4675	47690
"Belgium"	2009-01-01	"Super"	1096.555	47690
"Belgium"	2009-02-01	"Diesel"	928.275	45904
"Belgium"	2009-02-01	"Super"	1155.9125	45904
"Belgium"	2009-03-01	"Diesel"	921.34	50258
"Belgium"	2009-03-01	"Super"	1174.22	50258
"Belgium"	2009-04-01	"Super"	1211.66666666667	47641
"Belgium"	2009-04-01	"Diesel"	942.666666666667	47641
"Belgium"	2009-05-01	"Diesel"	937.25	37976
"Belgium"	2009-05-01	"Super"	1244	37976
"Belgium"	2009-06-01	"Super"	1322.2	43736
"Belgium"	2009-06-01	"Diesel"	965.6	43736
"Belgium"	2009-07-01	"Diesel"	941.8	35906
"Belgium"	2009-07-01	"Super"	1255.75	35906
"Belgium"	2009-08-01	"Super"	1331.2	30085
"Belgium"	2009-08-01	"Diesel"	998.4	30085
"Belgium"	2009-09-01	"Super"	1271.77	35687
"Belgium"	2009-09-01	"Diesel"	957.925	35687
"Belgium"	2009-10-01	"Super"	1244.25	39726
"Belgium"	2009-10-01	"Diesel"	954.25	39726
"Belgium"	2009-11-01	"Super"	1271.8	35136
"Belgium"	2009-11-01	"Diesel"	965	35136
"Belgium"	2009-12-01	"Diesel"	976.333333333333	26449
"Belgium"	2009-12-01	"Super"	1272	26449
"Belgium"	2010-01-01	"Diesel"	1006.25	49376
"Belgium"	2010-01-01	"Super"	1306.25	49376
"Belgium"	2010-02-01	"Diesel"	998.75	47584
"Belgium"	2010-02-01	"Super"	1308	47584
"Belgium"	2010-03-01	"Diesel"	1087	64330
"Belgium"	2010-03-01	"Super"	1388.2	64330
"Belgium"	2010-04-01	"Diesel"	1161.33333333333	57309
"Belgium"	2010-04-01	"Super"	1449.33333333333	57309
"Belgium"	2010-05-01	"Diesel"	1178.8	47725
"Belgium"	2010-05-01	"Super"	1456.2	47725
"Belgium"	2010-06-01	"Super"	1443	53872
"Belgium"	2010-06-01	"Diesel"	1197.5	53872
"Belgium"	2010-07-01	"Diesel"	1187.25	39309
"Belgium"	2010-07-01	"Super"	1425.5	39309
"Belgium"	2010-08-01	"Diesel"	1174.6	37540
"Belgium"	2010-08-01	"Super"	1405.6	37540
"Belgium"	2010-09-01	"Diesel"	1165.75	36945
"Belgium"	2010-09-01	"Super"	1391.7	36945
"Belgium"	2010-10-01	"Diesel"	1177.5	43570
"Belgium"	2010-10-01	"Super"	1399.125	43570
"Belgium"	2010-11-01	"Super"	1396.55	40537
"Belgium"	2010-11-01	"Diesel"	1183.975	40537
"Belgium"	2010-12-01	"Diesel"	1221.26666666667	29243
"Belgium"	2010-12-01	"Super"	1452.46666666667	29243
"Belgium"	2011-01-01	"Super"	1488.96	53236
"Belgium"	2011-01-01	"Diesel"	1280.34	53236
"Belgium"	2011-02-01	"Super"	1499.25	53135
"Belgium"	2011-02-01	"Diesel"	1317.05	53135
"Belgium"	2011-03-01	"Super"	1539.7	63533
"Belgium"	2011-03-01	"Diesel"	1375.2	63533
"Belgium"	2011-04-01	"Diesel"	1389.16666666667	53300
"Belgium"	2011-04-01	"Super"	1586.93333333333	53300
"Belgium"	2011-05-01	"Super"	1583.24	54888
"Belgium"	2011-05-01	"Diesel"	1368.68	54888
"Belgium"	2011-06-01	"Diesel"	1379.025	48353
"Belgium"	2011-06-01	"Super"	1558.6	48353
"Belgium"	2011-07-01	"Super"	1545.25	34886
"Belgium"	2011-07-01	"Diesel"	1373.875	34886
"Belgium"	2011-08-01	"Super"	1576.725	37788
"Belgium"	2011-08-01	"Diesel"	1396.475	37788
"Belgium"	2011-09-01	"Diesel"	1383.8	41427
"Belgium"	2011-09-01	"Super"	1574.75	41427
"Belgium"	2011-10-01	"Diesel"	1421.22	42462
"Belgium"	2011-10-01	"Super"	1547.44	42462
"Belgium"	2011-11-01	"Super"	1514.65	40440
"Belgium"	2011-11-01	"Diesel"	1419.9	40440
"Belgium"	2011-12-01	"Super"	1529.06666666667	48763
"Belgium"	2011-12-01	"Diesel"	1419.63333333333	48763
"Belgium"	2012-01-01	"Diesel"	1456.25	44732
"Belgium"	2012-01-01	"Super"	1605.225	44732
"Belgium"	2012-02-01	"Super"	1640.05	43716
"Belgium"	2012-02-01	"Diesel"	1476.775	43716
"Belgium"	2012-03-01	"Super"	1662.6	59915
"Belgium"	2012-03-01	"Diesel"	1478.125	59915
"Belgium"	2012-04-01	"Super"	1718.2	48326
"Belgium"	2012-04-01	"Diesel"	1463.525	48326
"Belgium"	2012-05-01	"Diesel"	1452.775	40780
"Belgium"	2012-05-01	"Super"	1651.8	40780
"Belgium"	2012-06-01	"Diesel"	1404.15	47647
"Belgium"	2012-06-01	"Super"	1610.85	47647
"Belgium"	2012-07-01	"Diesel"	1440.74	36701
"Belgium"	2012-07-01	"Super"	1637.36	36701
"Belgium"	2012-08-01	"Super"	1689.075	31256
"Belgium"	2012-08-01	"Diesel"	1499.775	31256
"Belgium"	2012-09-01	"Diesel"	1499.45	33660
"Belgium"	2012-09-01	"Super"	1714.9	33660
"Belgium"	2012-10-01	"Diesel"	1492.02	41846
"Belgium"	2012-10-01	"Super"	1654.38	41846
"Belgium"	2012-11-01	"Super"	1580.175	35834
"Belgium"	2012-11-01	"Diesel"	1476.875	35834
"Belgium"	2012-12-01	"Super"	1568.5	22324
"Belgium"	2012-12-01	"Diesel"	1424.16666666667	22324
"Belgium"	2013-01-01	"Diesel"	1430.375	50684
"Belgium"	2013-01-01	"Super"	1590.3	50684
"Belgium"	2013-02-01	"Super"	1615.75	45400
"Belgium"	2013-02-01	"Diesel"	1426.875	45400
"Belgium"	2013-03-01	"Super"	1613.675	53076
"Belgium"	2013-03-01	"Diesel"	1433.3025	53076
